release_date_int,Drama,United States of America,Documentary,Horror,Action,runtime,budget,revenue,Animation,Released,Comedy,xx_lan,Family,Rumored,Post Production,In Production,Pixar Animation Studios,is_english,United Kingdom,fa_lan,DC Comics,Switzerland,belongs_to_collection,Marvel Studios,Foreign,cs_lan,South Africa,af_lan,Twentieth Century Fox Film Corporation,History,Mystery,Hong Kong,Burkina Faso,Working Title Films,Australia,Hungary,Russia,TriStar Pictures,Bad Hat Harry Productions,Walt Disney Pictures,DreamWorks Animation,Thriller,Netherlands
19270110.0,1,0.0,0,0,0,153.0,92620000.0,650422.0,0,1.0,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19260809.0,1,1.0,0,0,0,115.0,21606623.53436832,0.0,0,1.0,0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19260905.0,1,1.0,0,0,1,68.0,21606623.53436832,0.0,0,1.0,0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19270923.0,0,0.0,1,0,0,69.0,21606623.53436832,0.0,0,1.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,1,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19270910.0,1,1.0,0,0,0,66.0,21606623.53436832,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19261231.0,1,1.0,0,0,1,79.0,750000.0,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19270117.0,1,1.0,0,0,0,82.0,21606623.53436832,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19270923.0,1,1.0,0,0,0,94.0,21606623.53436832,121.0,0,1.0,0,1.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19270812.0,1,1.0,0,0,1,141.0,2000000.0,0.0,0,1.0,0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19290130.0,1,0.0,0,0,0,109.0,21606623.53436832,0.0,0,1.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,1,0.0
19280916.0,0,1.0,0,0,0,76.0,21606623.53436832,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19280106.0,1,1.0,0,0,0,71.0,9000000.0,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19280421.0,1,0.0,0,0,0,110.0,21606623.53436832,0.0,0,1.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,1,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19281118.0,0,1.0,0,0,0,8.0,4986.0,0.0,1,1.0,0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,0,0,0.0
19290630.0,1,0.0,0,0,0,84.0,21606623.53436832,0.0,0,1.0,0,0.0,0,0.0,0.0,0.0,0,1,1.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,1,0.0
19290208.0,1,1.0,0,0,0,100.0,379000.0,4358000.0,0,1.0,0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19290108.0,1,0.0,1,0,0,68.0,21606623.53436832,0.0,0,1.0,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
